,mbti,성격설명
0,INFJ,감정이 앞설 땐 생각을 정리하는 혼자만의 시간이 필요한 법. 감수성이 풍부하고 숱한 생각이 스쳐 지나가는 인프제의 마음에 쏙 들 만한 루이 비통의 ‘덩 라 포 EDP’. 향긋한 살구와 차분한 레더 향이 어우러져 잔잔한 기분을 선사한다. 100ml 35만원.
1,INTJ,사실과 원리 원칙을 중시하는 전략가 타입 인티제. 완벽주의를 추구하는 인티제에게 스파이시한 향과 장미가 어우러진 에디션 드 퍼퓸 프레데릭 말의 ‘포트레이트 오브 어 레이디 EDP’를 제안한다. 정장 차림에 또각또각 구두 소리가 어울리는 카리스마 넘치는 향이다. 100ml 50만3천원.
2,INFP,비록 낯가림은 심하지만 상대방에 대한 공감 능력이 뛰어나고 타인의 감정을 잘 살피는 인프피. 플로럴 향과 싱그러운 그린 노트를 자랑하는 에어린의 ‘라일락 패스 EDP 스프레이’를 추천한다. 인프피의 섬세하고 긍정적인 면모와 비슷한 구석을 엿볼 수 있다. 50ml 15만7천원대.
3,INTP,"인팁은 문제의 근본 원인을 찾아 부단히 해결하고자 하며, 상상력과 호기심이 풍부해 쉴 새 없이 아이디어가 쏟아져 나온다. 이와 어울리는 향은 톰 포드 뷰티의 ‘오드 우드 EDP’. 무게감이 느껴지는 우디 향조에 크리미한 바닐라와 로즈 향이 더해져 깊고 풍성한 향을 완성한다. 50ml 33만9천원."
